time, value
4231, 1877
4235, 1878
4239, 1877
4243, 1877
4247, 1878
4251, 1877
4255, 1877
4259, 1875
4263, 1876
4267, 1875
4271, 1879
4275, 1877
4279, 1874
4283, 1876
4287, 1878
4291, 1879
4295, 1879
4299, 1877
4303, 1878
4307, 1881
4311, 1878
4315, 1876
4319, 1873
4323, 1881
4327, 1874
4331, 1875
4335, 1877
4339, 1878
4343, 1872
4347, 1881
4351, 1875
4355, 1875
4359, 1876
4363, 1878
4367, 1878
4371, 1878
4375, 1874
4379, 1877
4383, 1874
4387, 1877
4391, 1876
4395, 1878
4399, 1875
4403, 1881
4407, 1874
4411, 1875
4415, 1875
4419, 1877
4423, 1876
4427, 1885
4431, 1872
4435, 1877
4439, 1873
4443, 1875
4447, 1878
4451, 1877
4455, 1878
4459, 1879
4463, 1875
4467, 1877
4471, 1875
4475, 1879
4479, 1881
4483, 1878
4487, 1879
4491, 1877
4495, 1883
4499, 1876
4503, 1880
4507, 1877
4511, 1878
4515, 1876
4519, 1878
4523, 1881
4527, 1878
4531, 1879
4535, 1877
4539, 1877
4543, 1872
4547, 1878
4551, 1878
4555, 1874
4559, 1877
4563, 1874
4567, 1875
4571, 1877
4575, 1877
4579, 1877
4583, 1874
4587, 1873
4591, 1875
4595, 1877
4599, 1879
4603, 1874
4607, 1876
4611, 1879
4615, 1879
4619, 1876
4623, 1876
4627, 1878
4631, 1876
4635, 1877
4639, 1877
4643, 1875
4647, 1878
4651, 1878
4655, 1874
4659, 1879
4663, 1877
4667, 1877
4671, 1876
4675, 1875
4679, 1874
4683, 1874
4687, 1875
4691, 1877
4695, 1877
4699, 1872
4703, 1879
4707, 1875
4711, 1875
4715, 1877
4719, 1875
4723, 1876
4727, 1876
4731, 1878
4735, 1877
4739, 1875
4743, 1875
4747, 1876
4751, 1877
4755, 1878
4759, 1879
4763, 1876
4767, 1874
4771, 1873
4775, 1877
4779, 1873
4783, 1876
4787, 1875
4791, 1877
4795, 1873
4799, 1874
4803, 1881
4807, 1877
4811, 1883
4815, 1877
4819, 1876
4823, 1877
4827, 1877
4831, 1877
4835, 1879
4839, 1878
4843, 1877
4847, 1875
4851, 1874
4855, 1877
4859, 1877
4863, 1875
4867, 1877
4871, 1875
4875, 1879
4879, 1875
4883, 1879
4887, 1877
4891, 1877
4895, 1878
4899, 1878
4903, 1875
4907, 1877
4911, 1877
4915, 1875
4919, 1877
4923, 1879
4927, 1881
4931, 1877
4935, 1881
4939, 1879
4943, 1879
4947, 1875
4951, 1881
4955, 1877
4959, 1875
4963, 1877
4967, 1877
4971, 1879
4975, 1875
4979, 1875
4983, 1879
4987, 1878
4991, 1876
4995, 1877
4999, 1876
5003, 1882
5007, 1879
5011, 1875
5015, 1876
5019, 1874
5023, 1878
5027, 1878
5031, 1881
5035, 1881
5039, 1874
5043, 1875
5047, 1876
5051, 1879
5055, 1878
5059, 1877
5063, 1873
5067, 1873
5071, 1877
5075, 1878
5079, 1875
5083, 1879
5087, 1879
5091, 1875
5095, 1873
5099, 1875
5103, 1874
5107, 1874
5111, 1877
5115, 1877
5119, 1873
5123, 1875
5127, 1875
5131, 1879
5135, 1875
5139, 1874
5143, 1878
5147, 1881
5151, 1875
5155, 1876
5159, 1873
5163, 1875
5167, 1877
5171, 1876
5175, 1879
5179, 1875
5183, 1877
5187, 1879
5191, 1873
5195, 1878
5199, 1875
5203, 1873
5207, 1873
5211, 1877
5215, 1877
5219, 1877
5223, 1877
5227, 1875
5231, 1879
5235, 1874
5239, 1878
5243, 1877
5247, 1877
5251, 1877
5255, 1872
5259, 1877
5263, 1878
5267, 1881
5271, 1877
5275, 1872
5279, 1879
5283, 1879
5287, 1875
5291, 1878
5295, 1874
5299, 1875
5303, 1873
5307, 1875
5311, 1878
5315, 1875
5319, 1875
5323, 1876
5327, 1878
5331, 1878
5335, 1879
5339, 1873
5343, 1876
5347, 1877
5351, 1876
5355, 1877
5359, 1876
5363, 1879
5367, 1874
5371, 1877
5375, 1875
5379, 1877
5383, 1875
5387, 1876
5391, 1878
5395, 1878
5399, 1875
5403, 1874
5407, 1875
5411, 1878
5415, 1877
5419, 1879
5423, 1879
5427, 1874
5431, 1879
5435, 1882
5439, 1879
5443, 1876
5447, 1874
5451, 1878
5455, 1874
5459, 1873
5463, 1877
5467, 1875
5471, 1878
5475, 1878
5479, 1877
5483, 1874
5487, 1873
5491, 1877
5495, 1875
5499, 1874
5503, 1877
5507, 1879
5511, 1882
5515, 1875
5519, 1877
5523, 1873
5527, 1876
5531, 1875
5535, 1879
5539, 1878
5543, 1877
5547, 1874
5551, 1879
5555, 1874
5559, 1879
5563, 1877
5567, 1877
5571, 1878
5575, 1873
5579, 1875
5583, 1876
5587, 1879
5591, 1877
5595, 1872
5599, 1876
5603, 1876
5607, 1875
5611, 1873
5615, 1874
5619, 1882
5623, 1879
5627, 1874
5631, 1875
5635, 1879
5639, 1875
5643, 1877
5647, 1875
5651, 1877
5655, 1877
5659, 1879
5663, 1877
5667, 1877
5671, 1874
5675, 1880
5679, 1877
5683, 1874
5687, 1877
5691, 1879
5695, 1875
5699, 1877
5703, 1875
5707, 1877
5711, 1875
5715, 1886
5719, 1877
5723, 1878
5727, 1879
5731, 1878
5735, 1879
5739, 1875
5743, 1875
5747, 1877
5751, 1881
5755, 1875
5759, 1877
5763, 1875
5767, 1877
5771, 1874
5775, 1875
5779, 1877
5783, 1879
5787, 1876
5791, 1875
5795, 1875
5799, 1879
5803, 1878
5807, 1877
5811, 1877
5815, 1877
5819, 1872
5823, 1875
5827, 1877
5831, 1876
5835, 1877
5839, 1877
5843, 1875
5847, 1874
5851, 1878
5855, 1875
5859, 1879
5863, 1879
5867, 1878
5871, 1876
5875, 1877
5879, 1872
5883, 1875
5887, 1878
5891, 1879
5895, 1875
5899, 1878
5903, 1882
5907, 1878
5911, 1876
5915, 1874
5919, 1876
5923, 1877
5927, 1877
5931, 1877
5935, 1875
5939, 1874
5943, 1877
5947, 1872
5951, 1875
5955, 1875
5959, 1874
5963, 1879
5967, 1877
5971, 1879
5975, 1879
5979, 1865
5983, 1874
5987, 1875
5991, 1879
5995, 1877
5999, 1873
6003, 1875
6007, 1875
6011, 1875
6015, 1876
6019, 1879
6023, 1873
6027, 1877
6031, 1879
6035, 1874
6039, 1878
6043, 1874
6047, 1877
6051, 1878
6055, 1873
6059, 1875
6063, 1873
6067, 1873
6071, 1877
6075, 1877
6079, 1875
6083, 1875
6087, 1878
6091, 1878
6095, 1879
6099, 1874
6103, 1872
6107, 1869
6111, 1875
6115, 1877
6119, 1872
6123, 1873
6127, 1882
6131, 1878
6135, 1872
6139, 1875
6143, 1877
6147, 1879
6151, 1880
6155, 1874
6159, 1885
6163, 1879
6167, 1874
6171, 1878
6175, 1875
6179, 1875
6183, 1877
6187, 1877
6191, 1876
6195, 1879
6199, 1877
6203, 1876
6207, 1876
6211, 1873
6215, 1879
6219, 1877
6223, 1878
6227, 1875
6231, 1881
6235, 1875
6239, 1875
6243, 1873
6247, 1877
6251, 1874
6255, 1874
6259, 1879
6263, 1878
6267, 1879
6271, 1882
6275, 1879
6279, 1878
6283, 1876
6287, 1874
6291, 1878
6295, 1879
6299, 1875
6303, 1873
6307, 1877
6311, 1878
6315, 1878
6319, 1875
6323, 1877
6327, 1879
6331, 1873
6335, 1873
6339, 1881
6343, 1878
6347, 1877
6351, 1877
6355, 1875
6359, 1875
6363, 1875
6367, 1875
6371, 1878
6375, 1877
6379, 1873
6383, 1874
6387, 1878
6391, 1878
6395, 1876
6399, 1875
6403, 1879
6407, 1877
6411, 1875
6415, 1875
6419, 1870
6423, 1872
6427, 1877
6431, 1879
6435, 1875
6439, 1875
6443, 1877
6447, 1878
6451, 1876
6455, 1867
6459, 1882
6463, 1875
6467, 1879
6471, 1882
6475, 1874
6479, 1874
6483, 1875
6487, 1877
6491, 1878
6495, 1873
6499, 1877
6503, 1877
6507, 1882
6511, 1877
6515, 1878
6519, 1877
6523, 1872
6527, 1879
6531, 1879
6535, 1879
6539, 1875
6543, 1873
6547, 1875
6551, 1875
6555, 1877
6559, 1876
6563, 1877
6567, 1877
6571, 1877
6575, 1885
6579, 1874
6583, 1871
6587, 1874
6591, 1878
6595, 1881
6599, 1874
6603, 1873
6607, 1879
6611, 1877
6615, 1878
6619, 1871
6623, 1875
6627, 1877
6631, 1873
6635, 1877
6639, 1873
6643, 1877
6647, 1875
6651, 1879
6655, 1877
6659, 1882
6663, 1878
6667, 1875
6671, 1877
6675, 1877
6679, 1875
6683, 1879
6687, 1885
6691, 1872
6695, 1874
6699, 1875
6703, 1877
6707, 1879
6711, 1873
6715, 1877
6719, 1872
6723, 1878
6727, 1875
6731, 1879
6735, 1872
6739, 1875
6743, 1877
6747, 1875
6751, 1878
6755, 1875
6759, 1874
6763, 1878
6767, 1878
6771, 1873
6775, 1877
6779, 1879
6783, 1878
6787, 1877
6791, 1875
6795, 1879
6799, 1872
6803, 1877
6807, 1877
6811, 1878
6815, 1875
6819, 1875
6823, 1879
6827, 1875
6831, 1879
6835, 1875
6839, 1875
6843, 1874
6847, 1878
6851, 1879
6855, 1874
6859, 1875
6863, 1873
6867, 1877
6871, 1881
6875, 1874
6879, 1879
6883, 1877
6887, 1873
6891, 1882
6895, 1878
6899, 1875
6903, 1879
6907, 1877
6911, 1882
6915, 1876
6919, 1876
6923, 1877
6927, 1877
6931, 1875
6935, 1883
6939, 1875
6943, 1874
6947, 1877
6951, 1877
6955, 1878
6959, 1875
6963, 1874
6967, 1875
6971, 1881
6975, 1878
6979, 1874
6983, 1877
6987, 1875
6991, 1879
6995, 1875
6999, 1873
7003, 1874
7007, 1877
7011, 1875
7015, 1875
7019, 1881
7023, 1877
7027, 1876
7031, 1874
7035, 1878
7039, 1881
7043, 1873
7047, 1877
7051, 1877
7055, 1872
7059, 1879
7063, 1875
7067, 1873
7071, 1875
7075, 1879
7079, 1877
7083, 1877
7087, 1875
7091, 1878
7095, 1879
7099, 1878
7103, 1877
7107, 1872
7111, 1872
7115, 1873
7119, 1877
7123, 1877
7127, 1877
7131, 1877
7135, 1873
7139, 1886
7143, 1874
7147, 1875
7151, 1875
7155, 1879
7159, 1878
7163, 1873
7167, 1872
7171, 1874
7175, 1873
7179, 1875
7183, 1877
7187, 1877
7191, 1875
7195, 1876
7199, 1875
7203, 1879
7207, 1878
7211, 1877
7215, 1877
7219, 1879
7223, 1873
7227, 1879
7231, 1873
7235, 1877
7239, 1879
7243, 1877
7247, 1876
7251, 1878
7255, 1878
7259, 1875
7263, 1878
7267, 1876
7271, 1874
7275, 1872
7279, 1874
7283, 1878
7287, 1875
7291, 1878
7295, 1872
7299, 1875
7303, 1877
7307, 1878
7311, 1874
7315, 1877
7319, 1875
7323, 1877
7327, 1883
7331, 1875
7335, 1872
7339, 1881
7343, 1876
7347, 1877
7351, 1877
7355, 1873
7359, 1875
7363, 1876
7367, 1876
7371, 1873
7375, 1873
7379, 1876
7383, 1873
7387, 1879
7391, 1877
7395, 1874
7399, 1874
7403, 1877
7407, 1878
7411, 1877
7415, 1876
7419, 1870
7423, 1874
7427, 1877
7431, 1878
7435, 1875
7439, 1876
7443, 1873
7447, 1873
7451, 1879
