time, value
1747, 1845
1749, 1845
1751, 1843
1753, 1845
1755, 1846
1757, 1846
1759, 1845
1761, 1844
1763, 1845
1765, 1844
1767, 1846
1769, 1845
1771, 1844
1773, 1845
1775, 1844
1777, 1845
1779, 1845
1781, 1844
1783, 1845
1785, 1845
1787, 1845
1789, 1843
1791, 1846
1793, 1845
1795, 1851
1797, 1849
1799, 1844
1801, 1846
1803, 1845
1805, 1845
1807, 1846
1809, 1843
1811, 1846
1813, 1845
1815, 1847
1817, 1843
1819, 1845
1821, 1843
1823, 1844
1825, 1845
1827, 1843
1829, 1845
1831, 1846
1833, 1845
1835, 1845
1837, 1843
1839, 1845
1841, 1845
1843, 1845
1845, 1845
1847, 1845
1849, 1842
1851, 1845
1853, 1845
1855, 1845
1857, 1846
1859, 1846
1861, 1845
1863, 1846
1865, 1845
1867, 1846
1869, 1846
1871, 1844
1873, 1843
1875, 1844
1877, 1844
1879, 1845
1881, 1846
1883, 1844
1885, 1846
1887, 1846
1889, 1847
1891, 1845
1893, 1845
1895, 1845
1897, 1845
1899, 1844
1901, 1842
1903, 1845
1905, 1844
1907, 1845
1909, 1844
1911, 1846
1913, 1846
1915, 1847
1917, 1845
1919, 1845
1921, 1847
1923, 1842
1925, 1845
1927, 1845
1929, 1845
1931, 1845
1933, 1846
1935, 1845
1937, 1846
1939, 1847
1941, 1844
1943, 1844
1945, 1842
1947, 1845
1949, 1846
1951, 1845
1953, 1845
1955, 1845
1957, 1846
1959, 1846
1961, 1846
1963, 1845
1965, 1846
1967, 1847
1969, 1845
1971, 1843
1973, 1846
1975, 1847
1977, 1845
1979, 1846
1981, 1843
1983, 1845
1985, 1845
1987, 1845
1989, 1843
1991, 1845
1993, 1846
1995, 1843
1997, 1847
1999, 1846
2001, 1843
2003, 1843
2005, 1846
2007, 1845
2009, 1846
2011, 1847
2013, 1845
2015, 1848
2017, 1845
2019, 1845
2021, 1844
2023, 1846
2025, 1845
2027, 1845
2029, 1845
2031, 1846
2033, 1845
2035, 1843
2037, 1843
2039, 1845
2041, 1846
2043, 1844
2045, 1845
2047, 1843
2049, 1845
2051, 1846
2053, 1845
2055, 1845
2057, 1845
2059, 1846
2061, 1845
2063, 1845
2065, 1845
2067, 1845
2069, 1845
2071, 1843
2073, 1846
2075, 1847
2077, 1845
2079, 1843
2081, 1845
2083, 1844
2085, 1843
2087, 1845
2089, 1845
2091, 1845
2093, 1845
2095, 1844
2097, 1845
2099, 1845
2101, 1843
2103, 1846
2105, 1847
2107, 1845
2109, 1846
2111, 1845
2113, 1845
2115, 1846
2117, 1845
2119, 1846
2121, 1845
2123, 1846
2125, 1845
2127, 1845
2129, 1846
2131, 1845
2133, 1845
2135, 1843
2137, 1844
2139, 1847
2141, 1846
2143, 1845
2145, 1845
2147, 1845
2149, 1846
2151, 1846
2153, 1845
2155, 1843
2157, 1845
2159, 1843
2161, 1845
2163, 1844
2165, 1846
2167, 1847
2169, 1846
2171, 1844
2173, 1843
2175, 1846
2177, 1845
2179, 1843
2181, 1845
2183, 1847
2185, 1845
2187, 1844
2189, 1846
2191, 1845
2193, 1845
2195, 1846
2197, 1844
2199, 1845
2201, 1845
2203, 1845
2205, 1845
2207, 1844
2209, 1846
2211, 1845
2213, 1846
2215, 1845
2217, 1843
2219, 1845
2221, 1846
2223, 1845
2225, 1846
2227, 1845
2229, 1846
2231, 1846
2233, 1847
2235, 1843
2237, 1844
2239, 1845
2241, 1846
2243, 1845
2245, 1843
2247, 1846
2249, 1843
2251, 1845
2253, 1845
2255, 1846
2257, 1845
2259, 1845
2261, 1847
2263, 1845
2265, 1847
2267, 1846
2269, 1845
2271, 1845
2273, 1845
2275, 1845
2277, 1846
2279, 1842
2281, 1845
2283, 1846
2285, 1846
2287, 1846
2289, 1847
2291, 1846
2293, 1845
2295, 1846
2297, 1843
2299, 1845
2301, 1845
2303, 1846
2305, 1846
2307, 1844
2309, 1845
2311, 1845
2313, 1844
2315, 1845
2317, 1845
2319, 1846
2321, 1846
2323, 1843
2325, 1846
2327, 1845
2329, 1845
2331, 1844
2333, 1845
2335, 1846
2337, 1846
2339, 1845
2341, 1845
2343, 1847
2345, 1847
2347, 1846
2349, 1845
2351, 1846
2353, 1845
2355, 1846
2357, 1846
2359, 1845
2361, 1846
2363, 1845
2365, 1846
2367, 1845
2369, 1846
2371, 1846
2373, 1847
2375, 1846
2377, 1843
2379, 1845
2381, 1845
2383, 1846
2385, 1845
2387, 1845
2389, 1846
2391, 1845
2393, 1843
2395, 1847
2397, 1846
2399, 1844
2401, 1847
2403, 1845
2405, 1844
2407, 1846
2409, 1845
2411, 1845
2413, 1845
2415, 1847
2417, 1846
2419, 1845
2421, 1846
2423, 1845
2425, 1846
2427, 1845
2429, 1845
2431, 1846
2433, 1846
2435, 1845
2437, 1843
2439, 1843
2441, 1843
2443, 1845
2445, 1846
2447, 1844
2449, 1845
2451, 1845
2453, 1847
2455, 1845
2457, 1847
2459, 1843
2461, 1846
2463, 1845
2465, 1846
2467, 1845
2469, 1847
2471, 1846
2473, 1843
2475, 1847
2477, 1844
2479, 1845
2481, 1845
2483, 1847
2485, 1845
2487, 1845
2489, 1846
2491, 1845
2493, 1846
2495, 1844
2497, 1845
2499, 1845
2501, 1845
2503, 1846
2505, 1845
2507, 1844
2509, 1846
2511, 1843
2513, 1844
2515, 1846
2517, 1845
2519, 1846
2521, 1844
2523, 1847
2525, 1844
2527, 1844
2529, 1846
2531, 1843
2533, 1844
2535, 1843
2537, 1845
2539, 1846
